env              ,activepython ,activepython ,cpython2  ,cpython2 ,cpython3  ,cpython3 ,graalpython ,graalpython ,intelpython2 ,intelpython2 ,intelpython3 ,intelpython3 ,ipy       ,ipy     ,jython    ,jython  ,micropython ,micropython ,nuitka    ,nuitka  ,numba2    ,numba2  ,numba3    ,numba3  ,pypy2     ,pypy2   ,pypy3     ,pypy3   ,shedskin  ,shedskin
                 ,energy(J)    ,pvalues      ,energy(J) ,pvalues  ,energy(J) ,pvalues  ,energy(J)   ,pvalues     ,energy(J)    ,pvalues      ,energy(J)    ,pvalues      ,energy(J) ,pvalues ,energy(J) ,pvalues ,energy(J)   ,pvalues     ,energy(J) ,pvalues ,energy(J) ,pvalues ,energy(J) ,pvalues ,energy(J) ,pvalues ,energy(J) ,pvalues ,energy(J) ,pvalues
benchmark        ,             ,             ,          ,         ,          ,         ,            ,            ,             ,             ,             ,             ,          ,        ,          ,        ,            ,            ,          ,        ,          ,        ,          ,        ,          ,        ,          ,        ,          ,
array            ,4e+02        ,0.0079       ,3.4e+02   ,0.0079   ,3.2e+02   ,0.0079   ,1.2e+05     ,0.0079      ,3.7e+02      ,0.0079       ,3.5e+02      ,0.0079       ,3e+02     ,0.0079  ,5.2e+02   ,0.0079  ,3.1e+02     ,0.0079      ,2.9e+02   ,0.0079  ,1.9e+02   ,0.0079  ,11        ,        ,16        ,0.15    ,13        ,0.15    ,47        ,0.0079
intArithmetic    ,6.9e+02      ,0.0022       ,5.6e+02   ,0.0022   ,7.4e+02   ,0.0022   ,24          ,0.0022      ,5.9e+02      ,0.0022       ,7.7e+02      ,0.0022       ,4.4e+02   ,0.0022  ,1.3e+02   ,0.0022  ,8.2e+02     ,0.0022      ,5.4e+02   ,0.0022  ,27        ,0.0022  ,10        ,0.0022  ,29        ,0.0022  ,17        ,0.0022  ,7.4       ,
doubleArithmetic ,6.6e+02      ,0.0043       ,5.5e+02   ,0.0043   ,7.3e+02   ,0.0043   ,24          ,0.0043      ,5.6e+02      ,0.0043       ,7.6e+02      ,0.0043       ,4.7e+02   ,0.0079  ,1.6e+02   ,0.0043  ,8.4e+02     ,0.0079      ,5.5e+02   ,0.0079  ,36        ,0.0079  ,10        ,0.0079  ,30        ,0.0043  ,18        ,0.0079  ,7.3       ,
hashes           ,9.7e+02      ,0.0079       ,6.5e+02   ,0.0079   ,7.9e+02   ,0.0079   ,6.4e+02     ,0.0079      ,7.1e+02      ,0.0079       ,9.4e+02      ,0.0079       ,1.3e+03   ,0.0079  ,6.4e+02   ,0.0079  ,9.5e+03     ,0.0079      ,9.5e+02   ,0.0079  ,6.8e+02   ,0.0079  ,9.1e+02   ,0.0079  ,1.1e+02   ,        ,1.9e+02   ,0.0079  ,1.1e+03   ,0.0079
heapsort         ,2.9e+02      ,0.0079       ,2.9e+02   ,0.0079   ,2.4e+02   ,0.0079   ,1.3e+05     ,0.0079      ,2.7e+02      ,0.0079       ,2.6e+02      ,0.0079       ,2.6e+02   ,0.0079  ,4.6e+02   ,0.0079  ,3.4e+02     ,0.0079      ,2.2e+02   ,0.0079  ,2.1e+03   ,0.0079  ,7.2e+02   ,0.0079  ,20        ,        ,20        ,0.31    ,44        ,0.0079
trig             ,5.1e+02      ,0.0079       ,4.1e+02   ,0.0079   ,4.1e+02   ,0.0079   ,72          ,0.0079      ,4.2e+02      ,0.0079       ,4.8e+02      ,0.0079       ,4.5e+02   ,0.0079  ,6.2e+02   ,0.0079  ,5.3e+02     ,0.0079      ,3.9e+02   ,0.0079  ,4.4e+02   ,0.0079  ,4.5e+02   ,0.0079  ,64        ,0.0079  ,65        ,0.0079  ,7.7       ,
vector           ,4e+02        ,0.0079       ,3.9e+02   ,0.0079   ,3.3e+02   ,0.0079   ,2.2e+02     ,0.0079      ,4.2e+02      ,0.0079       ,4.2e+02      ,0.0079       ,5.9e+02   ,0.0079  ,2.3e+02   ,0.0079  ,5e+02       ,0.0079      ,3.9e+02   ,0.0079  ,1.4e+03   ,0.0079  ,8.8e+02   ,0.0079  ,32        ,1       ,31        ,        ,40        ,0.0079

longArithmetic   ,6.7e+02      ,0.0079       ,5.5e+02   ,0.0079   ,7.4e+02   ,0.0079   ,24          ,0.0079      ,5.7e+02      ,0.0079       ,7.7e+02      ,0.0079       ,4.7e+02   ,0.0079  ,1.6e+02   ,0.0079  ,8.3e+02     ,0.0079      ,5.4e+02   ,0.0079  ,35        ,0.0079  ,11        ,0.0079  ,30        ,0.0079  ,17        ,0.0079  ,7.8       ,
matrixMultiply   ,4.3e+02      ,0.0079       ,4e+02     ,0.0079   ,4.4e+02   ,0.0079   ,45          ,0.0079      ,4.8e+02      ,0.0079       ,5e+02        ,0.0079       ,4.1e+02   ,0.0079  ,1.9e+02   ,0.0079  ,5.3e+02     ,0.0079      ,4.3e+02   ,0.0079  ,4e+02     ,0.0079  ,4.2e+02   ,0.0079  ,24        ,0.056   ,23        ,        ,          ,
io               ,2.1e+02      ,0.0079       ,2e+02     ,0.0079   ,2e+02     ,0.0079   ,7.5e+02     ,0.0079      ,2e+02        ,0.0079       ,2.2e+02      ,0.0079       ,3.8e+02   ,0.0079  ,2e+02     ,0.0079  ,5.3e+03     ,0.0079      ,2e+02     ,0.0079  ,2.2e+02   ,0.0079  ,2.1e+02   ,0.0079  ,1.7e+02   ,        ,2.6e+02   ,0.0079  ,3.8e+02   ,0.0079
stringConcat     ,14           ,0.0079       ,12        ,0.0079   ,13        ,0.0079   ,26          ,0.0079      ,13           ,0.0079       ,14           ,0.0079       ,49        ,0.0079  ,21        ,0.0079  ,44          ,0.0079      ,12        ,0.0079  ,20        ,0.0079  ,19        ,0.0079  ,7.7       ,        ,8.3       ,0.69    ,44        ,0.0079
nestedLoop       ,4.1e+02      ,0.0079       ,4.2e+02   ,0.0079   ,3.8e+02   ,0.0079   ,12          ,0.0079      ,4.4e+02      ,0.0079       ,4.4e+02      ,0.0079       ,3.3e+02   ,0.0079  ,1.9e+02   ,0.0079  ,4.3e+02     ,0.0079      ,3.6e+02   ,0.0079  ,14        ,0.0079  ,10        ,0.0079  ,27        ,0.0079  ,23        ,0.0079  ,7.1       ,
except           ,2.6e+02      ,0.0079       ,4.3e+02   ,0.0079   ,2.3e+02   ,0.0079   ,1.6e+02     ,0.0079      ,4.6e+02      ,0.0079       ,2.7e+02      ,0.0079       ,7.2e+02   ,0.0079  ,7.1e+02   ,0.0079  ,3.6e+02     ,0.0079      ,2.2e+02   ,0.0079  ,4.5e+02   ,0.0079  ,2.4e+02   ,0.0079  ,14        ,        ,14        ,0.69    ,5.6e+02   ,0.0079
